group;friendlyName;description;target;rights
TantoMinikinAtlantis;TantoMinikinAtlantis;Destructs Guard ship to the funds;TantoMinikinAtlantisFUND;WRITE
IllNaturedlyCoordinateGarners;IllNaturedlyCoordinateGarners;Appropriates Hammerhead to the mines;IllNaturedlyCoordinateGarnersMINE;OBSERVE
VociferouslyUnrepresentativePosterities;VociferouslyUnrepresentativePosterities;Implements Anxiousness to the funds;VociferouslyUnrepresentativePosteritiesFUND;LICK,WRITE,RENAME
UnsteadilyAphereticTaurotragusDerbianus;UnsteadilyAphereticTaurotragusDerbianus;Tinkers Ethylene to the burial chambers;UnsteadilyAphereticTaurotragusDerbianusBURIAL CHAMBER;ADJUST,WRITE,RENAME,STROKE
WillLesslyGlairyUniverses;WillLesslyGlairyUniverses;Encarnalizes Phantasies to the suites;WillLesslyGlairyUniversesSUITE;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
SouthwardsGramNegativeChirurgeons;SouthwardsGramNegativeChirurgeons;Concretizes Western meadowlark to the warehouses;SouthwardsGramNegativeChirurgeonsWAREHOUSE;FIST,WRITE
ChromatographicallySelfRegardingShafts;ChromatographicallySelfRegardingShafts;Glides Lumbricals to the treasures;ChromatographicallySelfRegardingShaftsTREASURE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
ViscerallyCatacumbalZyrians;ViscerallyCatacumbalZyrians;Bans Nitrifications to the depositorys;ViscerallyCatacumbalZyriansDEPOSITORY;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
ProvidentlyUnmellowedKnowableness;ProvidentlyUnmellowedKnowableness;Poles Mediatorship to the caches;ProvidentlyUnmellowedKnowablenessCACHE;LICK,WRITE,RENAME
OftFoldawayCenogenesis;OftFoldawayCenogenesis;Resins Subclass Holocephali to the basements;OftFoldawayCenogenesisBASEMENT;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE
PersonallyAnyFlacks;PersonallyAnyFlacks;Engraves Squirearchy to the funds;PersonallyAnyFlacksFUND;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
AstrideAccipitrineSplits;AstrideAccipitrineSplits;Preordains Distensibility to the cellars;AstrideAccipitrineSplitsCELLAR;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
UnambitiouslyScepticSnowflakes;UnambitiouslyScepticSnowflakes;Underbuys Running suit to the spaces;UnambitiouslyScepticSnowflakesSPACE;LICK,WRITE
InAnElaborateWaySelfPleasingChronicBronchitis;InAnElaborateWaySelfPleasingChronicBronchitis;Write-downs Pogonophora to the treasurys;InAnElaborateWaySelfPleasingChronicBronchitisTREASURY;LICK,WRITE
ContradictorilyRangedPsyllids;ContradictorilyRangedPsyllids;Grates Shanteys to the spaces;ContradictorilyRangedPsyllidsSPACE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
WeightilyTomentoseFiacres;WeightilyTomentoseFiacres;Misbestows Corynebacterium diphtheriae to the funds;WeightilyTomentoseFiacresFUND;WRITE
ChristianTransitionalDuresses;ChristianTransitionalDuresses;Outcrops Homogeneousness to the storehouses;ChristianTransitionalDuressesSTOREHOUSE;LAUGH,WRITE,RENAME
VoicelesslyUnmaskedCasemates;VoicelesslyUnmaskedCasemates;Quiets Class Ulvophyceae to the strongrooms;VoicelesslyUnmaskedCasematesSTRONGROOM;READ,WRITE,RENAME,STROKE,PUNCH
AtArmsLengthBaredTyphus;AtArmsLengthBaredTyphus;Spokes Bohr to the archives;AtArmsLengthBaredTyphusARCHIVE;READ,WRITE,RENAME
HereaboutMayoralObjectLens;HereaboutMayoralObjectLens;Crocks Crenellations to the undercrofts;HereaboutMayoralObjectLensUNDERCROFT;OBSERVE,WRITE,RENAME
OutOfTheBlueLatinateDispensatories;OutOfTheBlueLatinateDispensatories;Moves Neotony to the areas;OutOfTheBlueLatinateDispensatoriesAREA;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
UncharitablySelfRigorousStars;UncharitablySelfRigorousStars;Depredates Admiralship to the chambers;UncharitablySelfRigorousStarsCHAMBER;FONDLE
AlrightWellChosenFresnelLens;AlrightWellChosenFresnelLens;Counterpoints Disestablishment to the treasurys;AlrightWellChosenFresnelLensTREASURY;ADJUST,WRITE,RENAME,STROKE
DrylyPannieredClauses;DrylyPannieredClauses;Shipwrecks Family Felidae to the resrvoirs;DrylyPannieredClausesRESRVOIR;EXECUTE,WRITE,RENAME,STROKE,PUNCH
ContrariouslyAeriformCracks;ContrariouslyAeriformCracks;Dindles Political campaign to the closets;ContrariouslyAeriformCracksCLOSET;WRITE
DrollyBuffBrownArchaizers;DrollyBuffBrownArchaizers;Velarizes Ring armour to the storing places;DrollyBuffBrownArchaizersSTORING PLACE;LICK,WRITE,RENAME,STROKE,PUNCH
VapouringlyGesticulatingDosses;VapouringlyGesticulatingDosses;Unfrocks Dermatophytes to the suites;VapouringlyGesticulatingDossesSUITE;READ
AnimatinglyDraftiestVanishments;AnimatinglyDraftiestVanishments;Scarpers Footslogger to the safety deposits;AnimatinglyDraftiestVanishmentsSAFETY DEPOSIT;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE
DayInAndDayOutNitpickingPorteress;DayInAndDayOutNitpickingPorteress;Soars Coituses to the mines;DayInAndDayOutNitpickingPorteressMINE;FIST,WRITE,RENAME,STROKE
PlacatinglyUnbenignGigolos;PlacatinglyUnbenignGigolos;Manages Bridgwater to the digss;PlacatinglyUnbenignGigolosDIGS;FIST,WRITE,RENAME,STROKE,PUNCH
RevilinglyHearingImpairedImides;RevilinglyHearingImpairedImides;Arouses Reviler to the warehouses;RevilinglyHearingImpairedImidesWAREHOUSE;STEW,WRITE,RENAME,STROKE,PUNCH,OBSERVE
ReputedDemonstrableEpicotyls;ReputedDemonstrableEpicotyls;Writs Fastigiums to the cellars;ReputedDemonstrableEpicotylsCELLAR;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
FloridlyAmishRinds;FloridlyAmishRinds;Cop-outs Tracey to the treasurys;FloridlyAmishRindsTREASURY;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
SnakilyEmbossedArraigners;SnakilyEmbossedArraigners;Enamellings Fever to the undercrofts;SnakilyEmbossedArraignersUNDERCROFT;READ,WRITE,RENAME,STROKE
AdjacentlyPreliterateLandsknechts;AdjacentlyPreliterateLandsknechts;Transposings Shunters to the storing places;AdjacentlyPreliterateLandsknechtsSTORING PLACE;RENAME
InRealityLiegeCrossExaminations;InRealityLiegeCrossExaminations;Salutes Chappell to the treasures;InRealityLiegeCrossExaminationsTREASURE;EXECUTE
LamentinglyDowntroddenSignatories;LamentinglyDowntroddenSignatories;Retiles Logos to the safe deposits;LamentinglyDowntroddenSignatoriesSAFE DEPOSIT;LAUGH,WRITE,RENAME,STROKE
FaceToFaceRawbonedAlkaloids;FaceToFaceRawbonedAlkaloids;Forelocks Pleiads to the areas;FaceToFaceRawbonedAlkaloidsAREA;STEW,WRITE
BienniallyDownTheLinePeacocks;BienniallyDownTheLinePeacocks;Meshes Pardons to the territorys;BienniallyDownTheLinePeacocksTERRITORY;EXECUTE,WRITE
WestwardsUnenviedStuffings;WestwardsUnenviedStuffings;Tells Staysail to the burial chambers;WestwardsUnenviedStuffingsBURIAL CHAMBER;EXECUTE,WRITE,RENAME
ViteUranicWonderlands;ViteUranicWonderlands;Octuplets Deer fly fever to the spaces;ViteUranicWonderlandsSPACE;OBSERVE
MentallyPieEyedSpurtles;MentallyPieEyedSpurtles;Daffs Affiliations to the undercrofts;MentallyPieEyedSpurtlesUNDERCROFT;LAUGH,WRITE
TrickilyLandPoephilaCastanotis;TrickilyLandPoephilaCastanotis;Assigns Salves to the expanses;TrickilyLandPoephilaCastanotisEXPANSE;FONDLE,WRITE,RENAME,STROKE
AestheticImpressiveSprinters;AestheticImpressiveSprinters;Marls Genus Cosmocampus to the treasure houses;AestheticImpressiveSprintersTREASURE HOUSE;FIST,WRITE
DiametricallyHindHydrosulphites;DiametricallyHindHydrosulphites;Muzzles Presbyterians to the volumes;DiametricallyHindHydrosulphitesVOLUME;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
IntricatelyShortSpurredAdages;IntricatelyShortSpurredAdages;Traipses Sliders to the expanses;IntricatelyShortSpurredAdagesEXPANSE;OBSERVE,WRITE,RENAME,STROKE,PUNCH
BareknuckleGuilefulMaroons;BareknuckleGuilefulMaroons;Interpenetrates Scow to the safes;BareknuckleGuilefulMaroonsSAFE;EXECUTE
ObsessionallyCitatoryForecourses;ObsessionallyCitatoryForecourses;Upcasts ELA to the treasurys;ObsessionallyCitatoryForecoursesTREASURY;READ,WRITE,RENAME,STROKE,PUNCH
AlternativelyDeliciousFoliatures;AlternativelyDeliciousFoliatures;Lapidates Mitral valve prolapse to the digss;AlternativelyDeliciousFoliaturesDIGS;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
MaturelyFacilitativeDistringas;MaturelyFacilitativeDistringas;Ebonises Apothecary to the suites;MaturelyFacilitativeDistringasSUITE;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
PlainlyFulvousCalefactions;PlainlyFulvousCalefactions;Swobs Siphonaptera to the spaces;PlainlyFulvousCalefactionsSPACE;FONDLE,WRITE,RENAME
YeahUninsuredMulberries;YeahUninsuredMulberries;Stalks Saree to the basements;YeahUninsuredMulberriesBASEMENT;READ,WRITE,RENAME,STROKE,PUNCH
IllaudablySleekiestMages;IllaudablySleekiestMages;Loads Isomerizations to the billets;IllaudablySleekiestMagesBILLET;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
SongfullyPolyhydroxyGenusLutjanus;SongfullyPolyhydroxyGenusLutjanus;Take-overs Rebroadcasts to the crypts;SongfullyPolyhydroxyGenusLutjanusCRYPT;ADJUST
YeomanlyWellFavoredSusceptibleness;YeomanlyWellFavoredSusceptibleness;Parleyvoos Barricade to the quarterss;YeomanlyWellFavoredSusceptiblenessQUARTERS;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
JustThenCanDoDeans;JustThenCanDoDeans;Antecedes Thingamajig to the treasurys;JustThenCanDoDeansTREASURY;READ,WRITE,RENAME,STROKE,PUNCH
UnusefullySkeletalTraversals;UnusefullySkeletalTraversals;Refurbishes Pignolia to the treasure troves;UnusefullySkeletalTraversalsTREASURE TROVE;FONDLE,WRITE,RENAME
JustifiablyCruciferousBacchanals;JustifiablyCruciferousBacchanals;Ruffles Delict to the lodgingss;JustifiablyCruciferousBacchanalsLODGINGS;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
NeuroticallyElzevirBus;NeuroticallyElzevirBus;Glissades Celeriac to the burial chambers;NeuroticallyElzevirBusBURIAL CHAMBER;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
GreenlyCloseKnitGoliards;GreenlyCloseKnitGoliards;Girdings Psyop to the repositorys;GreenlyCloseKnitGoliardsREPOSITORY;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
StertorouslyTenuredHotGospellers;StertorouslyTenuredHotGospellers;Romanizes Groundplots to the treasure houses;StertorouslyTenuredHotGospellersTREASURE HOUSE;FIST,WRITE,RENAME
LastinglyBunchierTapaderas;LastinglyBunchierTapaderas;Keeks Tendentiousness to the depositorys;LastinglyBunchierTapaderasDEPOSITORY;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
CapaciouslyDudLandscapes;CapaciouslyDudLandscapes;Gripes Family Bathyergidae to the mines;CapaciouslyDudLandscapesMINE;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
JustInTimeIncompressibleHaggises;JustInTimeIncompressibleHaggises;Anthologizes Insurance claim to the vaults;JustInTimeIncompressibleHaggisesVAULT;FIST
ByAllOddsToweringSideswipes;ByAllOddsToweringSideswipes;Surrogates Projector to the crypts;ByAllOddsToweringSideswipesCRYPT;STEW,WRITE
YonderMimComprisals;YonderMimComprisals;Interprets King's evil to the depositorys;YonderMimComprisalsDEPOSITORY;FONDLE,WRITE,RENAME,STROKE,PUNCH
SelfEvidentlyPhotopicStounds;SelfEvidentlyPhotopicStounds;Schematises Quadrigesima Sunday to the containers;SelfEvidentlyPhotopicStoundsCONTAINER;FIST,WRITE,RENAME,STROKE
IdEstLightlyArmouredFares;IdEstLightlyArmouredFares;Pisses Acrocyanosis to the banks;IdEstLightlyArmouredFaresBANK;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
SwinishlyPyreticGenusTriceratops;SwinishlyPyreticGenusTriceratops;Jellies Laurels to the areas;SwinishlyPyreticGenusTriceratopsAREA;STROKE,WRITE,RENAME
ApoplecticallyAboveNamedPotatoPeelings;ApoplecticallyAboveNamedPotatoPeelings;Antiquates Quipus to the suites;ApoplecticallyAboveNamedPotatoPeelingsSUITE;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE
GauntlyAdventiveCheroots;GauntlyAdventiveCheroots;Lases Mourning ring to the digss;GauntlyAdventiveCherootsDIGS;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
AgainAndAgainFourFootedSaphenous;AgainAndAgainFourFootedSaphenous;Slakes Computing to the safety deposits;AgainAndAgainFourFootedSaphenousSAFETY DEPOSIT;READ,WRITE
WitheringlyTawieVitellines;WitheringlyTawieVitellines;Dubs Bequeathals to the areas;WitheringlyTawieVitellinesAREA;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
UndesirablyLumpishEwes;UndesirablyLumpishEwes;Unsteadies Festering to the areas;UndesirablyLumpishEwesAREA;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE
UnitedlyPinpointDisorderliness;UnitedlyPinpointDisorderliness;Careens Laramie to the strongrooms;UnitedlyPinpointDisorderlinessSTRONGROOM;PUNCH,WRITE
AmissShiahUranus;AmissShiahUranus;Miscomputes Rands to the places;AmissShiahUranusPLACE;READ,WRITE,RENAME
InTheBargainSubcranialScorns;InTheBargainSubcranialScorns;Stays Vimanas to the basements;InTheBargainSubcranialScornsBASEMENT;LICK,WRITE,RENAME,STROKE,PUNCH
SelectivelyAbkhazTornados;SelectivelyAbkhazTornados;Individuates Straggles to the accommodations;SelectivelyAbkhazTornadosACCOMMODATION;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
UxoriouslyUncontemplatedJones;UxoriouslyUncontemplatedJones;Hogties Clasp knife to the repertorys;UxoriouslyUncontemplatedJonesREPERTORY;READ,WRITE,RENAME,STROKE,PUNCH
InnumerablyBlastodermPomoxis;InnumerablyBlastodermPomoxis;Compels Veda to the storerooms;InnumerablyBlastodermPomoxisSTOREROOM;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE
FinicallyGassiestJerkinheads;FinicallyGassiestJerkinheads;Stereotypes Inquisition to the archives;FinicallyGassiestJerkinheadsARCHIVE;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
ProtuberantlyDiplexRatfinks;ProtuberantlyDiplexRatfinks;Redeems Spirt to the tombs;ProtuberantlyDiplexRatfinksTOMB;READ,WRITE
UppermostWrittenNeustons;UppermostWrittenNeustons;Divests Smooth to the sepulchres;UppermostWrittenNeustonsSEPULCHRE;OBSERVE,WRITE,RENAME
DauntinglySolvedContemplations;DauntinglySolvedContemplations;Mistranslates Granta to the suites;DauntinglySolvedContemplationsSUITE;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE
GuardedlyScandinavianWaveforms;GuardedlyScandinavianWaveforms;Christens Godet to the treasure houses;GuardedlyScandinavianWaveformsTREASURE HOUSE;LICK
ToWitHuelessOsteomas;ToWitHuelessOsteomas;Outedges Inapplicability to the areas;ToWitHuelessOsteomasAREA;OBSERVE,WRITE,RENAME
ConsciouslyConstrictedAlcestis;ConsciouslyConstrictedAlcestis;Dumbfounds Clarinet to the vaults;ConsciouslyConstrictedAlcestisVAULT;EXECUTE,WRITE,RENAME,STROKE,PUNCH
TepidlyKinestheticMyxocephalus;TepidlyKinestheticMyxocephalus;Harpoons Aplodontia rufa to the depositorys;TepidlyKinestheticMyxocephalusDEPOSITORY;OBSERVE,WRITE
ProEncomiasticBandoleers;ProEncomiasticBandoleers;Tintinnabulates Family to the cellars;ProEncomiasticBandoleersCELLAR;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
TetrahedrallyBroadsideDavies;TetrahedrallyBroadsideDavies;Freak-outs Anorchism to the caches;TetrahedrallyBroadsideDaviesCACHE;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
SelfConfidentlyStragglingProprieties;SelfConfidentlyStragglingProprieties;Overcharges Tabulator to the safes;SelfConfidentlyStragglingProprietiesSAFE;FIST
ShrillyMonogamicDelicateness;ShrillyMonogamicDelicateness;Metabolizes Meringue to the safety deposits;ShrillyMonogamicDelicatenessSAFETY DEPOSIT;FIST
HandAndFootEstipulateJewishness;HandAndFootEstipulateJewishness;Coddles Great-grandfather to the storerooms;HandAndFootEstipulateJewishnessSTOREROOM;FONDLE,WRITE,RENAME,STROKE
IneffectuallyGenitalicNudities;IneffectuallyGenitalicNudities;Ochres Myeloblastic leukemia to the containers;IneffectuallyGenitalicNuditiesCONTAINER;ADJUST
LuckilyUncarvedAcroteriums;LuckilyUncarvedAcroteriums;Drops Alyssums to the safes;LuckilyUncarvedAcroteriumsSAFE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
RoundArmDeadlyIronsides;RoundArmDeadlyIronsides;Competes Fiver to the depositorys;RoundArmDeadlyIronsidesDEPOSITORY;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE
ToOneEarForwardLookingUniques;ToOneEarForwardLookingUniques;Encases Infelicity to the safes;ToOneEarForwardLookingUniquesSAFE;READ,WRITE,RENAME,STROKE,PUNCH
MonthByMonthAuditoryTeenagers;MonthByMonthAuditoryTeenagers;Douses Phylloxeras to the banks;MonthByMonthAuditoryTeenagersBANK;READ,WRITE,RENAME,STROKE,PUNCH,OBSERVE
SlantlyVolitantAlmagests;SlantlyVolitantAlmagests;Declares Allusions to the billets;SlantlyVolitantAlmagestsBILLET;READ,WRITE,RENAME,STROKE,PUNCH,OBSERVE
RestrictivelyDichotomicEpitasis;RestrictivelyDichotomicEpitasis;Falters Conventionalisation to the crypts;RestrictivelyDichotomicEpitasisCRYPT;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
ProfessoriallyBurseraceousRegistrations;ProfessoriallyBurseraceousRegistrations;Dazzles Kannada to the repertorys;ProfessoriallyBurseraceousRegistrationsREPERTORY;PUNCH,WRITE
ConcentricallyPresumptuousAiglets;ConcentricallyPresumptuousAiglets;Reshapes Pug-dog to the receptacles;ConcentricallyPresumptuousAigletsRECEPTACLE;OBSERVE,WRITE,RENAME
InquietlyGnarlyChangefulness;InquietlyGnarlyChangefulness;Forwards Party spirit to the depositorys;InquietlyGnarlyChangefulnessDEPOSITORY;ADJUST,WRITE,RENAME,STROKE,PUNCH
EasilyChristianlikeTopers;EasilyChristianlikeTopers;Cultivates Witch-hunt to the places;EasilyChristianlikeTopersPLACE;OBSERVE
StubbornlyHeavysetApparencies;StubbornlyHeavysetApparencies;Regreets Harmonicon to the catacombs;StubbornlyHeavysetApparenciesCATACOMB;OBSERVE,WRITE,RENAME
VerySoftlyUnwishfulPickings;VerySoftlyUnwishfulPickings;Earmarks Jaw to the treasure houses;VerySoftlyUnwishfulPickingsTREASURE HOUSE;OBSERVE
UnequivocallyUnweanedPythias;UnequivocallyUnweanedPythias;Counterchanges Scaup to the funds;UnequivocallyUnweanedPythiasFUND;PUNCH,WRITE,RENAME
SanelyConceptiveHopis;SanelyConceptiveHopis;Wallows Gathic to the closets;SanelyConceptiveHopisCLOSET;STEW,WRITE,RENAME,STROKE,PUNCH,OBSERVE
PrivativelyIncentiveSnowdrops;PrivativelyIncentiveSnowdrops;Jilts Softa to the caches;PrivativelyIncentiveSnowdropsCACHE;PUNCH,WRITE,RENAME,STROKE
IrrepressiblyHomuncularRotguts;IrrepressiblyHomuncularRotguts;Shorings Coaxial cable to the treasure troves;IrrepressiblyHomuncularRotgutsTREASURE TROVE;STROKE
LethallyLichtMyxocephalusAenaeus;LethallyLichtMyxocephalusAenaeus;Bemuddles Extenders to the abodes;LethallyLichtMyxocephalusAenaeusABODE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE
PhotomechanicallyUnreasonableSoles;PhotomechanicallyUnreasonableSoles;Proselytes Angiotensin I to the storehouses;PhotomechanicallyUnreasonableSolesSTOREHOUSE;READ,WRITE,RENAME,STROKE,PUNCH
TransactionallyCivilianKnolls;TransactionallyCivilianKnolls;Cross-checks Abortion pill to the apartmentss;TransactionallyCivilianKnollsAPARTMENTS;FONDLE,WRITE,RENAME
MaybeDriftyAnlages;MaybeDriftyAnlages;Fibs Biprism to the repositorys;MaybeDriftyAnlagesREPOSITORY;ADJUST,WRITE,RENAME,STROKE,PUNCH
LongSinceSunbakedGlossologists;LongSinceSunbakedGlossologists;Whists Indoor garden to the crypts;LongSinceSunbakedGlossologistsCRYPT;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
ArtificiallyHebetateTetanus;ArtificiallyHebetateTetanus;Chokes Decuples to the caverns;ArtificiallyHebetateTetanusCAVERN;FONDLE,WRITE
ControvertiblyPearlGreyReachMeDowns;ControvertiblyPearlGreyReachMeDowns;Centers Ectopic gestation to the digss;ControvertiblyPearlGreyReachMeDownsDIGS;ADJUST,WRITE,RENAME
MalignlyMolecularMoans;MalignlyMolecularMoans;Decussates Cottonmouth to the storehouses;MalignlyMolecularMoansSTOREHOUSE;READ
GlissandoUnwittyRivulus;GlissandoUnwittyRivulus;Boards Courlan to the basements;GlissandoUnwittyRivulusBASEMENT;RENAME,WRITE
CanorouslyShakiestWigs;CanorouslyShakiestWigs;Tenderizes Pertinence to the funds;CanorouslyShakiestWigsFUND;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
OtherwiseHippiatricWeathers;OtherwiseHippiatricWeathers;Sips Genus Drepanis to the catacombs;OtherwiseHippiatricWeathersCATACOMB;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
YesterdayPhenolicIdealizers;YesterdayPhenolicIdealizers;Repossesses Murrain to the scopes;YesterdayPhenolicIdealizersSCOPE;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
BarehandedHabitFormingCryoscopes;BarehandedHabitFormingCryoscopes;Collets Bill to the crypts;BarehandedHabitFormingCryoscopesCRYPT;READ,WRITE
HereaboutMayoralObjectLens;HereaboutMayoralObjectLens;Twits Sable to the stores;HereaboutMayoralObjectLensSTORE;EXECUTE,WRITE,RENAME,STROKE,PUNCH
ByChanceFaultlessScrags;ByChanceFaultlessScrags;Disembowels Reconciliation to the resrvoirs;ByChanceFaultlessScragsRESRVOIR;ADJUST,WRITE,RENAME,STROKE
ResponsivelyChlorousDowncomes;ResponsivelyChlorousDowncomes;Exculpates Creep feed to the lodgingss;ResponsivelyChlorousDowncomesLODGINGS;READ,WRITE
ExotericallyUnmaterialHomoSapiensSapiens;ExotericallyUnmaterialHomoSapiensSapiens;Circumstances Utes to the closets;ExotericallyUnmaterialHomoSapiensSapiensCLOSET;LICK,WRITE,RENAME,STROKE
BesidesMetatheticRomanizers;BesidesMetatheticRomanizers;Wounds Alabasters to the storehouses;BesidesMetatheticRomanizersSTOREHOUSE;LAUGH,WRITE,RENAME,STROKE
ChoicelyUncooperativePuritans;ChoicelyUncooperativePuritans;Defilades Aspidistras to the stores;ChoicelyUncooperativePuritansSTORE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
ProminentlyUnpayingGladfulness;ProminentlyUnpayingGladfulness;Boodles Stanislavski to the basements;ProminentlyUnpayingGladfulnessBASEMENT;OBSERVE,WRITE,RENAME,STROKE
MairSiameseBattleOfHastings;MairSiameseBattleOfHastings;Supercools Rumor to the safes;MairSiameseBattleOfHastingsSAFE;ADJUST,WRITE
PedanticallySmartAleckyNurturers;PedanticallySmartAleckyNurturers;Overweighs Embitterer to the repertorys;PedanticallySmartAleckyNurturersREPERTORY;STEW,WRITE
PickabackUnannotatedVastitudes;PickabackUnannotatedVastitudes;Glazes Ragi to the treasure houses;PickabackUnannotatedVastitudesTREASURE HOUSE;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
